-5.29268 -14.6965 10 
-12.9531 -21.1244 10 
-12.9531 -21.1244 5 
-5.29268 -14.6965 5 

-5.29268 -14.6965 10 
-14.6896 -11.2763 10 
-14.6896 -11.2763 5 
-5.29268 -14.6965 5 

-5.29268 -14.6965 10 
-7.02917 -4.84844 10 
-7.02917 -4.84844 5 
-5.29268 -14.6965 5 

-5.29268 -14.6965 10 
2.36776 -8.26864 10 
2.36776 -8.26864 5 
-5.29268 -14.6965 5 

-5.29268 -14.6965 10 
4.10424 -18.1167 10 
4.10424 -18.1167 5 
-5.29268 -14.6965 5 

-5.29268 -14.6965 10 
-3.5562 -24.5446 10 
-3.5562 -24.5446 5 
-5.29268 -14.6965 5 

-5.29268 -14.6965 10 
-12.9531 -21.1244 10 
-12.9531 -21.1244 5 
-5.29268 -14.6965 5 

