13.5012 -7.85611 10 
5.84072 -14.284 10 
5.84072 -14.284 5 
13.5012 -7.85611 5 

13.5012 -7.85611 10 
4.10424 -4.43591 10 
4.10424 -4.43591 5 
13.5012 -7.85611 5 

13.5012 -7.85611 10 
11.7647 1.99197 10 
11.7647 1.99197 5 
13.5012 -7.85611 5 

13.5012 -7.85611 10 
21.1616 -1.42823 10 
21.1616 -1.42823 5 
13.5012 -7.85611 5 

13.5012 -7.85611 10 
22.8981 -11.2763 10 
22.8981 -11.2763 5 
13.5012 -7.85611 5 

13.5012 -7.85611 10 
15.2376 -17.7042 10 
15.2376 -17.7042 5 
13.5012 -7.85611 5 

13.5012 -7.85611 10 
5.84072 -14.284 10 
5.84072 -14.284 5 
13.5012 -7.85611 5 

